ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,abstract,aggregating_evidence,cited_by,colrev.dblp.dblp_key,colrev_data_provenance,colrev_masterdata_provenance,colrev_origin,colrev_status,curation_id,goal_rowe,language,literature_review,lr_type_pare_et_al,note,r_agenda,r_agenda_levels,r_gaps,synthesis,theory_building,topic
AasiRusuHan2014,inproceedings,The Influence of Culture on IT Governance - A Literature Review,"Aasi, Parisa and Rusu, Lazar and Han, Shengnan",2014,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2014.546,https://ieeexplore.ieee.org/document/6759148,,,,https://dblp.org/rec/conf/hicss/AasiRH14,"{'doi': {'source': 'md_curated.bib/000197', 'note': ''}, 'url': {'source': 'https://www.doi.org/10.1109/HICSS.2014.546', 'note': ''}, 'language': {'source': 'md_curated.bib/000197', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000226', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000197|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000226', 'md_crossref.bib/000020', 'md_curated.bib/000197', 'md_dblp.bib/000197']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AasiRusuHan2014,,eng,,,,,,,,,
Abbas2014,article,The Regulatory Considerations and Ethical Dilemmas of Location-based Services (LBS): A Literature Review,"Abbas, Roba and Michael, Katina and Michael, M. G.",2014,Information Technology & People,,27,1,2--20,,,,False,,,,,,,,Describing,,,narrative-review,,False,none,False,True,True,Other Domain
AbedinMendozaKarunasekera2020,inproceedings,Credible vs Fake - A Literature Review on Differentiating Online Reviews based on Credibility,"Abedin, Ehsan and Mendoza, Antonette and Karunasekera, Shanika",2020,,International Conference on Information Systems,,,,,https://aisel.aisnet.org/icis2020/social_media/social_media/2,,,,https://dblp.org/rec/conf/icis/AbedinMK20,"{'url': {'source': 'md_curated.bib/000029', 'note': ''}, 'language': {'source': 'md_curated.bib/000029', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000011', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000029|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/international-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000011', 'md_curated.bib/000029', 'md_dblp.bib/000029']",md_prepared,https://github.com/CoLRev-curations/international-conference-on-information-systems#AbedinMendozaKarunasekera2020,,eng,,,,,,,,,
Aboulola2017,inproceedings,A Literature Review of Spatial Location Analysis for Retail Site Selection,"Aboulola, Omar Ibrahim",2017,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2017/DataScience/Presentations/9,,,,https://dblp.org/rec/conf/amcis/Aboulola17,"{'url': {'source': 'md_curated.bib/000079', 'note': ''}, 'language': {'source': 'md_curated.bib/000079', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000103', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000079|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000103', 'md_curated.bib/000079', 'md_dblp.bib/000076']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#Aboulola2017,,eng,,,,,,,,,
AbouzahraGuenterTan2015a,inproceedings,Integrating Information Systems and Healthcare Research to Understand Physicians' use of Health Information Systems - a Literature Review,"Abouzahra, Mohamed and Guenter, Dale and Tan, Joseph",2015,,International Conference on Information Systems,,,,,http://aisel.aisnet.org/icis2015/proceedings/IShealth/12,,,,https://dblp.org/rec/conf/icis/AbouzahraGT15,"{'url': {'source': 'md_curated.bib/000033', 'note': ''}, 'language': {'source': 'md_curated.bib/000033', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000012', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000033|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/international-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000012', 'md_curated.bib/000033', 'md_dblp.bib/000032']",md_prepared,https://github.com/CoLRev-curations/international-conference-on-information-systems#AbouzahraGuenterTan2015a,,eng,,,,,,,,,
AbramovaBaumannKrasnovaEtAl2016,inproceedings,Gender Differences in Online Dating - What Do We Know So Far? A Systematic Literature Review,"Abramova, Olga and Baumann, Annika and Krasnova, Hanna and Buxmann, Peter",2016,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2016.481,https://ieeexplore.ieee.org/document/7427665,,,,https://dblp.org/rec/conf/hicss/AbramovaBKB16,"{'doi': {'source': 'md_curated.bib/000201', 'note': ''}, 'url': {'source': 'https://www.doi.org/10.1109/HICSS.2016.481', 'note': ''}, 'language': {'source': 'md_curated.bib/000201', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000227', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000201|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000227', 'md_crossref.bib/000021', 'md_curated.bib/000201', 'md_dblp.bib/000200']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AbramovaBaumannKrasnovaEtAl2016,,eng,,,,,,,,,
AbramovaWagnerKrasnovaEtAl2017,inproceedings,Understanding Self-Disclosure on Social Networking Sites - A Literature Review,"Abramova, Olga and Wagner, Amina and Krasnova, Hanna and Buxmann, Peter",2017,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2017/AdoptionIT/Presentations/30,,,,https://dblp.org/rec/conf/amcis/AbramovaWKB17,"{'url': {'source': 'md_curated.bib/000080', 'note': ''}, 'language': {'source': 'md_curated.bib/000080', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000104', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000080|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000104', 'md_curated.bib/000080', 'md_dblp.bib/000081']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AbramovaWagnerKrasnovaEtAl2017,,eng,,,,,,,,,
AdrotPallud2009,inproceedings,Crisis Response and IT Use Literature Review and Suggestions for Future Research,"Adrot, Anouck and Pallud, Jessie",2009,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2009/366,,,,https://dblp.org/rec/conf/amcis/AdrotP09,"{'url': {'source': 'md_curated.bib/000085', 'note': ''}, 'language': {'source': 'md_curated.bib/000085', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000105', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000085|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000105', 'md_curated.bib/000085', 'md_dblp.bib/000085']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AdrotPallud2009,,eng,,,,,,,,,
Agarwal2010,article,Research Commentary-The Digital Transformation of Healthcare: Current Status and the Road Ahead,"Agarwal, Ritu and Gao, Guodong and DesRoches, Catherine and Jha, Ashish K.",2010,Information Systems Research,,21,4,796--809,,,,False,,,,,,,,Understanding,,,scoping-review,,True,comprehensive,True,True,True,Other Domain
Aguirre-Urreta2008,article,Comparing Conceptual Modeling Techniques: A Critical Review of the EER Vs. OO Empirical Literature,"Aguirre-Urreta, Miguel I. and Marakas, George M.",2008,ACM SIGMIS Database,,39,2,9--32,,,,False,,,,,,,,Understanding,,,critical-review,,False,partial,True,True,False,Software Development
